t	1	2	jV0100	jL0300	
0.084	0.587785	0.587785	-6.12605e-18	6.12605e-18	
0.0841	0.535827	0.535827	-5.61806e-18	5.61806e-18	
0.0842	0.481754	0.481754	-5.0879e-18	5.0879e-18	
0.0843	0.425779	0.425779	-4.53766e-18	4.53766e-18	
0.0844	0.368125	0.368125	-3.96952e-18	3.96952e-18	
0.0845	0.309017	0.309017	-3.38571e-18	3.38571e-18	
0.0846	0.24869	0.24869	-2.78853e-18	2.78853e-18	
0.0847	0.187381	0.187381	-2.18036e-18	2.18036e-18	
0.0848	0.125333	0.125333	-1.56357e-18	1.56357e-18	
0.0849	0.0627905	0.0627905	-9.40619e-19	9.40619e-19	
0.085	-8.82544e-13	-8.82544e-13	-3.13953e-19	3.13953e-19	
0.0851	-0.0627905	-0.0627905	3.13953e-19	-3.13953e-19	
0.0852	-0.125333	-0.125333	9.40619e-19	-9.40619e-19	
0.0853	-0.187381	-0.187381	1.56357e-18	-1.56357e-18	
0.0854	-0.24869	-0.24869	2.18036e-18	-2.18036e-18	
0.0855	-0.309017	-0.309017	2.78853e-18	-2.78853e-18	
0.0856	-0.368125	-0.368125	3.38571e-18	-3.38571e-18	
0.0857	-0.425779	-0.425779	3.96952e-18	-3.96952e-18	
0.0858	-0.481754	-0.481754	4.53766e-18	-4.53766e-18	
0.0859	-0.535827	-0.535827	5.0879e-18	-5.0879e-18	
0.086	-0.587785	-0.587785	5.61806e-18	-5.61806e-18	
0.0861	-0.637424	-0.637424	6.12605e-18	-6.12605e-18	
0.0862	-0.684547	-0.684547	6.60986e-18	-6.60986e-18	
0.0863	-0.728969	-0.728969	7.06758e-18	-7.06758e-18	
0.0864	-0.770513	-0.770513	7.49741e-18	-7.49741e-18	
0.0865	-0.809017	-0.809017	7.89765e-18	-7.89765e-18	
0.0866	-0.844328	-0.844328	8.26672e-18	-8.26672e-18	
0.0867	-0.876307	-0.876307	8.60317e-18	-8.60317e-18	
0.0868	-0.904827	-0.904827	8.90567e-18	-8.90567e-18	
0.0869	-0.929776	-0.929776	9.17302e-18	-9.17302e-18	
0.087	-0.951057	-0.951057	9.40417e-18	-9.40417e-18	
0.0871	-0.968583	-0.968583	9.5982e-18	-9.5982e-18	
0.0872	-0.982287	-0.982287	9.75435e-18	-9.75435e-18	
0.0873	-0.992115	-0.992115	9.87201e-18	-9.87201e-18	
0.0874	-0.998027	-0.998027	9.95071e-18	-9.95071e-18	
0.0875	-1	-1	9.99013e-18	-9.99013e-18	
0.0876	-0.998027	-0.998027	9.99013e-18	-9.99013e-18	
0.0877	-0.992115	-0.992115	9.95071e-18	-9.95071e-18	
0.0878	-0.982287	-0.982287	9.87201e-18	-9.87201e-18	
0.0879	-0.968583	-0.968583	9.75435e-18	-9.75435e-18	
0.088	-0.951057	-0.951057	9.5982e-18	-9.5982e-18	
0.0881	-0.929776	-0.929776	9.40417e-18	-9.40417e-18	
0.0882	-0.904827	-0.904827	9.17302e-18	-9.17302e-18	
0.0883	-0.876307	-0.876307	8.90567e-18	-8.90567e-18	
0.0884	-0.844328	-0.844328	8.60317e-18	-8.60317e-18	
0.0885	-0.809017	-0.809017	8.26672e-18	-8.26672e-18	
0.0886	-0.770513	-0.770513	7.89765e-18	-7.89765e-18	
0.0887	-0.728969	-0.728969	7.49741e-18	-7.49741e-18	
0.0888	-0.684547	-0.684547	7.06758e-18	-7.06758e-18	
0.0889	-0.637424	-0.637424	6.60986e-18	-6.60986e-18	
0.089	-0.587785	-0.587785	6.12605e-18	-6.12605e-18	
0.0891	-0.535827	-0.535827	5.61806e-18	-5.61806e-18	
0.0892	-0.481754	-0.481754	5.0879e-18	-5.0879e-18	
0.0893	-0.425779	-0.425779	4.53766e-18	-4.53766e-18	
0.0894	-0.368125	-0.368125	3.96952e-18	-3.96952e-18	
0.0895	-0.309017	-0.309017	3.38571e-18	-3.38571e-18	
0.0896	-0.24869	-0.24869	2.78853e-18	-2.78853e-18	
0.0897	-0.187381	-0.187381	2.18036e-18	-2.18036e-18	
0.0898	-0.125333	-0.125333	1.56357e-18	-1.56357e-18	
0.0899	-0.0627905	-0.0627905	9.40619e-19	-9.40619e-19	
0.09	9.78345e-13	9.78345e-13	3.13953e-19	-3.13953e-19	
0.0901	0.0627905	0.0627905	-3.13953e-19	3.13953e-19	
0.0902	0.125333	0.125333	-9.40619e-19	9.40619e-19	
0.0903	0.187381	0.187381	-1.56357e-18	1.56357e-18	
0.0904	0.24869	0.24869	-2.18036e-18	2.18036e-18	
0.0905	0.309017	0.309017	-2.78853e-18	2.78853e-18	
0.0906	0.368125	0.368125	-3.38571e-18	3.38571e-18	
0.0907	0.425779	0.425779	-3.96952e-18	3.96952e-18	
0.0908	0.481754	0.481754	-4.53766e-18	4.53766e-18	
0.0909	0.535827	0.535827	-5.0879e-18	5.0879e-18	
0.091	0.587785	0.587785	-5.61806e-18	5.61806e-18	
0.0911	0.637424	0.637424	-6.12605e-18	6.12605e-18	
0.0912	0.684547	0.684547	-6.60986e-18	6.60986e-18	
0.0913	0.728969	0.728969	-7.06758e-18	7.06758e-18	
0.0914	0.770513	0.770513	-7.49741e-18	7.49741e-18	
0.0915	0.809017	0.809017	-7.89765e-18	7.89765e-18	
0.0916	0.844328	0.844328	-8.26672e-18	8.26672e-18	
0.0917	0.876307	0.876307	-8.60317e-18	8.60317e-18	
0.0918	0.904827	0.904827	-8.90567e-18	8.90567e-18	
0.0919	0.929776	0.929776	-9.17302e-18	9.17302e-18	
0.092	0.951057	0.951057	-9.40417e-18	9.40417e-18	
0.0921	0.968583	0.968583	-9.5982e-18	9.5982e-18	
0.0922	0.982287	0.982287	-9.75435e-18	9.75435e-18	
0.0923	0.992115	0.992115	-9.87201e-18	9.87201e-18	
0.0924	0.998027	0.998027	-9.95071e-18	9.95071e-18	
0.0925	1	1	-9.99013e-18	9.99013e-18	
0.0926	0.998027	0.998027	-9.99013e-18	9.99013e-18	
0.0927	0.992115	0.992115	-9.95071e-18	9.95071e-18	
0.0928	0.982287	0.982287	-9.87201e-18	9.87201e-18	
0.0929	0.968583	0.968583	-9.75435e-18	9.75435e-18	
0.093	0.951057	0.951057	-9.5982e-18	9.5982e-18	
0.0931	0.929776	0.929776	-9.40417e-18	9.40417e-18	
0.0932	0.904827	0.904827	-9.17302e-18	9.17302e-18	
0.0933	0.876307	0.876307	-8.90567e-18	8.90567e-18	
0.0934	0.844328	0.844328	-8.60317e-18	8.60317e-18	
0.0935	0.809017	0.809017	-8.26672e-18	8.26672e-18	
0.0936	0.770513	0.770513	-7.89765e-18	7.89765e-18	
0.0937	0.728969	0.728969	-7.49741e-18	7.49741e-18	
0.0938	0.684547	0.684547	-7.06758e-18	7.06758e-18	
0.0939	0.637424	0.637424	-6.60986e-18	6.60986e-18	
0.094	0.587785	0.587785	-6.12605e-18	6.12605e-18	
0.0941	0.535827	0.535827	-5.61806e-18	5.61806e-18	
0.0942	0.481754	0.481754	-5.0879e-18	5.0879e-18	
0.0943	0.425779	0.425779	-4.53766e-18	4.53766e-18	
0.0944	0.368125	0.368125	-3.96952e-18	3.96952e-18	
0.0945	0.309017	0.309017	-3.38571e-18	3.38571e-18	
0.0946	0.24869	0.24869	-2.78853e-18	2.78853e-18	
0.0947	0.187381	0.187381	-2.18036e-18	2.18036e-18	
0.0948	0.125333	0.125333	-1.56357e-18	1.56357e-18	
0.0949	0.0627905	0.0627905	-9.40619e-19	9.40619e-19	
0.095	-1.06704e-12	-1.06704e-12	-3.13953e-19	3.13953e-19	
0.0951	-0.0627905	-0.0627905	3.13953e-19	-3.13953e-19	
0.0952	-0.125333	-0.125333	9.40619e-19	-9.40619e-19	
0.0953	-0.187381	-0.187381	1.56357e-18	-1.56357e-18	
0.0954	-0.24869	-0.24869	2.18036e-18	-2.18036e-18	
0.0955	-0.309017	-0.309017	2.78853e-18	-2.78853e-18	
0.0956	-0.368125	-0.368125	3.38571e-18	-3.38571e-18	
0.0957	-0.425779	-0.425779	3.96952e-18	-3.96952e-18	
0.0958	-0.481754	-0.481754	4.53766e-18	-4.53766e-18	
0.0959	-0.535827	-0.535827	5.0879e-18	-5.0879e-18	
0.096	-0.587785	-0.587785	5.61806e-18	-5.61806e-18	
0.0961	-0.637424	-0.637424	6.12605e-18	-6.12605e-18	
0.0962	-0.684547	-0.684547	6.60986e-18	-6.60986e-18	
0.0963	-0.728969	-0.728969	7.06758e-18	-7.06758e-18	
0.0964	-0.770513	-0.770513	7.49741e-18	-7.49741e-18	
0.0965	-0.809017	-0.809017	7.89765e-18	-7.89765e-18	
0.0966	-0.844328	-0.844328	8.26672e-18	-8.26672e-18	
0.0967	-0.876307	-0.876307	8.60317e-18	-8.60317e-18	
0.0968	-0.904827	-0.904827	8.90567e-18	-8.90567e-18	
0.0969	-0.929776	-0.929776	9.17302e-18	-9.17302e-18	
0.097	-0.951057	-0.951057	9.40417e-18	-9.40417e-18	
0.0971	-0.968583	-0.968583	9.5982e-18	-9.5982e-18	
0.0972	-0.982287	-0.982287	9.75435e-18	-9.75435e-18	
0.0973	-0.992115	-0.992115	9.87201e-18	-9.87201e-18	
0.0974	-0.998027	-0.998027	9.95071e-18	-9.95071e-18	
0.0975	-1	-1	9.99013e-18	-9.99013e-18	
0.0976	-0.998027	-0.998027	9.99013e-18	-9.99013e-18	
0.0977	-0.992115	-0.992115	9.95071e-18	-9.95071e-18	
0.0978	-0.982287	-0.982287	9.87201e-18	-9.87201e-18	
0.0979	-0.968583	-0.968583	9.75435e-18	-9.75435e-18	
0.098	-0.951057	-0.951057	9.5982e-18	-9.5982e-18	
0.0981	-0.929776	-0.929776	9.40417e-18	-9.40417e-18	
0.0982	-0.904827	-0.904827	9.17302e-18	-9.17302e-18	
0.0983	-0.876307	-0.876307	8.90567e-18	-8.90567e-18	
0.0984	-0.844328	-0.844328	8.60317e-18	-8.60317e-18	
0.0985	-0.809017	-0.809017	8.26672e-18	-8.26672e-18	
0.0986	-0.770513	-0.770513	7.89765e-18	-7.89765e-18	
0.0987	-0.728969	-0.728969	7.49741e-18	-7.49741e-18	
0.0988	-0.684547	-0.684547	7.06758e-18	-7.06758e-18	
0.0989	-0.637424	-0.637424	6.60986e-18	-6.60986e-18	
0.099	-0.587785	-0.587785	6.12605e-18	-6.12605e-18	
0.0991	-0.535827	-0.535827	5.61806e-18	-5.61806e-18	
0.0992	-0.481754	-0.481754	5.0879e-18	-5.0879e-18	
0.0993	-0.425779	-0.425779	4.53766e-18	-4.53766e-18	
0.0994	-0.368125	-0.368125	3.96952e-18	-3.96952e-18	
0.0995	-0.309017	-0.309017	3.38571e-18	-3.38571e-18	
0.0996	-0.24869	-0.24869	2.78853e-18	-2.78853e-18	
0.0997	-0.187381	-0.187381	2.18036e-18	-2.18036e-18	
0.0998	-0.125333	-0.125333	1.56357e-18	-1.56357e-18	
0.0999	-0.0627905	-0.0627905	9.40619e-19	-9.40619e-19	
