t	1	2	jV0100	
0.244	0.999289	0.000998291	-1.00029	
0.245	0.999507	0.000998508	-1.00051	
0.246	0.999684	0.000998686	-1.00068	
0.247	0.999822	0.000998824	-1.00082	
0.248	0.999921	0.000998922	-1.00092	
0.249	0.99998	0.000998981	-1.00098	
0.25	1	0.000999001	-1.001	
0.251	0.99998	0.000998981	-1.00098	
0.252	0.999921	0.000998922	-1.00092	
0.253	0.999822	0.000998824	-1.00082	
0.254	0.999684	0.000998686	-1.00068	
0.255	0.999507	0.000998508	-1.00051	
0.256	0.999289	0.000998291	-1.00029	
0.257	0.999033	0.000998035	-1.00003	
0.258	0.998737	0.000997739	-0.999735	
0.259	0.998402	0.000997404	-0.999399	
0.26	0.998027	0.00099703	-0.999024	
0.261	0.997613	0.000996616	-0.998609	
0.262	0.997159	0.000996163	-0.998155	
0.263	0.996666	0.00099567	-0.997662	
0.264	0.996134	0.000995138	-0.997129	
0.265	0.995562	0.000994567	-0.996557	
0.266	0.994951	0.000993957	-0.995945	
0.267	0.994301	0.000993307	-0.995294	
0.268	0.993611	0.000992619	-0.994604	
0.269	0.992883	0.000991891	-0.993874	
0.27	0.992115	0.000991124	-0.993106	
0.271	0.991308	0.000990317	-0.992298	
0.272	0.990461	0.000989472	-0.991451	
0.273	0.989576	0.000988588	-0.990565	
0.274	0.988652	0.000987664	-0.989639	
0.275	0.987688	0.000986702	-0.988675	
0.276	0.986686	0.0009857	-0.987672	
0.277	0.985645	0.00098466	-0.986629	
0.278	0.984564	0.000983581	-0.985548	
0.279	0.983445	0.000982463	-0.984428	
0.28	0.982287	0.000981306	-0.983269	
0.281	0.981091	0.00098011	-0.982071	
0.282	0.979855	0.000978876	-0.980834	
0.283	0.978581	0.000977603	-0.979559	
0.284	0.977268	0.000976292	-0.978244	
0.285	0.975917	0.000974942	-0.976892	
0.286	0.974527	0.000973553	-0.9755	
0.287	0.973099	0.000972126	-0.974071	
0.288	0.971632	0.000970661	-0.972602	
0.289	0.970127	0.000969157	-0.971096	
0.29	0.968583	0.000967616	-0.969551	
0.291	0.967001	0.000966035	-0.967968	
0.292	0.965382	0.000964417	-0.966346	
0.293	0.963724	0.000962761	-0.964686	
0.294	0.962028	0.000961067	-0.962989	
0.295	0.960294	0.000959334	-0.961253	
0.296	0.958522	0.000957564	-0.959479	
0.297	0.956712	0.000955756	-0.957668	
0.298	0.954865	0.000953911	-0.955818	
0.299	0.952979	0.000952027	-0.953931	
0.3	0.951057	0.000950106	-0.952007	
0.301	0.949096	0.000948148	-0.950044	
0.302	0.947098	0.000946152	-0.948044	
0.303	0.945063	0.000944119	-0.946007	
0.304	0.942991	0.000942048	-0.943933	
0.305	0.940881	0.000939941	-0.941821	
0.306	0.938734	0.000937796	-0.939672	
0.307	0.93655	0.000935614	-0.937486	
0.308	0.934329	0.000933396	-0.935262	
0.309	0.932071	0.00093114	-0.933002	
0.31	0.929776	0.000928848	-0.930705	
0.311	0.927445	0.000926519	-0.928372	
0.312	0.925077	0.000924153	-0.926001	
0.313	0.922673	0.000921751	-0.923594	
