t 1 2 jL0100 jV0200 
0.000304 5.77196 4.48972 1.28224 -1.28224
0.000305 5.76352 4.4768 1.28672 -1.28672
0.000306 5.75494 4.46374 1.29119 -1.29119
0.000307 5.7462 4.45055 1.29565 -1.29565
0.000308 5.73732 4.43722 1.30009 -1.30009
0.000309 5.72828 4.42376 1.30452 -1.30452
0.00031 5.71911 4.41017 1.30894 -1.30894
0.000311 5.70978 4.39644 1.31334 -1.31334
0.000312 5.70031 4.38258 1.31773 -1.31773
0.000313 5.69069 4.36858 1.32211 -1.32211
0.000314 5.68093 4.35446 1.32647 -1.32647
0.000315 5.67102 4.3402 1.33082 -1.33082
0.000316 5.66096 4.32581 1.33515 -1.33515
0.000317 5.65077 4.3113 1.33947 -1.33947
0.000318 5.64042 4.29665 1.34377 -1.34377
0.000319 5.62994 4.28188 1.34806 -1.34806
0.00032 5.61931 4.26697 1.35234 -1.35234
0.000321 5.60854 4.25194 1.3566 -1.3566
0.000322 5.59762 4.23678 1.36084 -1.36084
0.000323 5.58656 4.2215 1.36507 -1.36507
0.000324 5.57537 4.20608 1.36928 -1.36928
0.000325 5.56403 4.19055 1.37348 -1.37348
0.000326 5.55255 4.17488 1.37766 -1.37766
0.000327 5.54093 4.15909 1.38183 -1.38183
0.000328 5.52916 4.14318 1.38598 -1.38598
0.000329 5.51727 4.12715 1.39012 -1.39012
0.00033 5.50523 4.11099 1.39424 -1.39424
0.000331 5.49305 4.09471 1.39834 -1.39834
0.000332 5.48074 4.07831 1.40243 -1.40243
0.000333 5.46828 4.06179 1.4065 -1.4065
0.000334 5.45569 4.04514 1.41055 -1.41055
0.000335 5.44297 4.02838 1.41459 -1.41459
0.000336 5.43011 4.0115 1.41861 -1.41861
0.000337 5.41711 3.9945 1.42261 -1.42261
0.000338 5.40398 3.97738 1.42659 -1.42659
0.000339 5.39071 3.96015 1.43056 -1.43056
0.00034 5.37731 3.9428 1.43451 -1.43451
0.000341 5.36378 3.92533 1.43845 -1.43845
0.000342 5.35011 3.90775 1.44237 -1.44237
0.000343 5.33631 3.89005 1.44626 -1.44626
0.000344 5.32238 3.87224 1.45015 -1.45015
0.000345 5.30832 3.85431 1.45401 -1.45401
0.000346 5.29413 3.83628 1.45785 -1.45785
