t	1	2	3	jO0200	jV0300	
0.00485	0.00169005	0.00338011	0.00169005	-3.38011e-06	1.69005e-06	
0.0049	0.00170553	0.00341107	0.00170553	-3.41107e-06	1.70553e-06	
0.00495	0.00172101	0.00344202	0.00172101	-3.44202e-06	1.72101e-06	
0.005	0.00173648	0.00347296	0.00173648	-3.47296e-06	1.73648e-06	
0.00505	0.00175195	0.0035039	0.00175195	-3.5039e-06	1.75195e-06	
0.0051	0.00176741	0.00353482	0.00176741	-3.53482e-06	1.76741e-06	
0.00515	0.00178287	0.00356574	0.00178287	-3.56574e-06	1.78287e-06	
0.0052	0.00179832	0.00359665	0.00179832	-3.59665e-06	1.79832e-06	
0.00525	0.00181377	0.00362755	0.00181377	-3.62755e-06	1.81377e-06	
0.0053	0.00182922	0.00365844	0.00182922	-3.65844e-06	1.82922e-06	
0.00535	0.00184466	0.00368932	0.00184466	-3.68932e-06	1.84466e-06	
0.0054	0.0018601	0.00372019	0.0018601	-3.72019e-06	1.8601e-06	
0.00545	0.00187553	0.00375106	0.00187553	-3.75106e-06	1.87553e-06	
0.0055	0.00189095	0.00378191	0.00189095	-3.78191e-06	1.89095e-06	
0.00555	0.00190638	0.00381275	0.00190638	-3.81275e-06	1.90638e-06	
0.0056	0.00192179	0.00384359	0.00192179	-3.84359e-06	1.92179e-06	
0.00565	0.00193721	0.00387441	0.00193721	-3.87441e-06	1.93721e-06	
0.0057	0.00195261	0.00390523	0.00195261	-3.90523e-06	1.95261e-06	
0.00575	0.00196802	0.00393604	0.00196802	-3.93604e-06	1.96802e-06	
0.0058	0.00198342	0.00396683	0.00198342	-3.96683e-06	1.98342e-06	
0.00585	0.00199881	0.00399762	0.00199881	-3.99762e-06	1.99881e-06	
0.0059	0.0020142	0.0040284	0.0020142	-4.0284e-06	2.0142e-06	
0.00595	0.00202958	0.00405916	0.00202958	-4.05916e-06	2.02958e-06	
0.006	0.00204496	0.00408992	0.00204496	-4.08992e-06	2.04496e-06	
0.00605	0.00206033	0.00412067	0.00206033	-4.12067e-06	2.06033e-06	
0.0061	0.0020757	0.0041514	0.0020757	-4.1514e-06	2.0757e-06	
0.00615	0.00209107	0.00418213	0.00209107	-4.18213e-06	2.09107e-06	
0.0062	0.00210642	0.00421285	0.00210642	-4.21285e-06	2.10642e-06	
0.00625	0.00212178	0.00424355	0.00212178	-4.24355e-06	2.12178e-06	
0.0063	0.00213712	0.00427425	0.00213712	-4.27425e-06	2.13712e-06	
0.00635	0.00215247	0.00430493	0.00215247	-4.30493e-06	2.15247e-06	
0.0064	0.0021678	0.00433561	0.0021678	-4.33561e-06	2.1678e-06	
0.00645	0.00218314	0.00436627	0.00218314	-4.36627e-06	2.18314e-06	
0.0065	0.00219846	0.00439692	0.00219846	-4.39692e-06	2.19846e-06	
0.00655	0.00221378	0.00442757	0.00221378	-4.42757e-06	2.21378e-06	
0.0066	0.0022291	0.0044582	0.0022291	-4.4582e-06	2.2291e-06	
0.00665	0.00224441	0.00448882	0.00224441	-4.48882e-06	2.24441e-06	
0.0067	0.00225971	0.00451943	0.00225971	-4.51943e-06	2.25971e-06	
0.00675	0.00227501	0.00455002	0.00227501	-4.55002e-06	2.27501e-06	
0.0068	0.00229031	0.00458061	0.00229031	-4.58061e-06	2.29031e-06	
0.00685	0.00230559	0.00461119	0.00230559	-4.61119e-06	2.30559e-06	
0.0069	0.00232087	0.00464175	0.00232087	-4.64175e-06	2.32087e-06	
0.00695	0.00233615	0.0046723	0.00233615	-4.6723e-06	2.33615e-06	
0.007	0.00235142	0.00470284	0.00235142	-4.70284e-06	2.35142e-06	
0.00705	0.00236669	0.00473337	0.00236669	-4.73337e-06	2.36669e-06	
0.0071	0.00238194	0.00476389	0.00238194	-4.76389e-06	2.38194e-06	
0.00715	0.0023972	0.00479439	0.0023972	-4.79439e-06	2.3972e-06	
