t	1	2	jV0100	
0.261	1.99523	0.5	-0.5	
0.262	1.99432	0.5	-0.5	
0.263	1.99333	0.5	-0.5	
0.264	1.99227	0.5	-0.5	
0.265	1.99112	0.5	-0.5	
0.266	1.9899	0.5	-0.5	
0.267	1.9886	0.5	-0.5	
0.268	1.98722	0.5	-0.5	
0.269	1.98577	0.5	-0.5	
0.27	1.98423	0.5	-0.5	
0.271	1.98262	0.5	-0.5	
0.272	1.98092	0.5	-0.5	
0.273	1.97915	0.5	-0.5	
0.274	1.9773	0.5	-0.5	
0.275	1.97538	0.5	-0.5	
0.276	1.97337	0.5	-0.5	
0.277	1.97129	0.5	-0.5	
0.278	1.96913	0.5	-0.5	
0.279	1.96689	0.5	-0.5	
0.28	1.96457	0.5	-0.5	
0.281	1.96218	0.5	-0.5	
0.282	1.95971	0.5	-0.5	
0.283	1.95716	0.5	-0.5	
0.284	1.95454	0.5	-0.5	
0.285	1.95183	0.5	-0.5	
0.286	1.94905	0.5	-0.5	
0.287	1.9462	0.5	-0.5	
0.288	1.94326	0.5	-0.5	
0.289	1.94025	0.5	-0.5	
0.29	1.93717	0.5	-0.5	
0.291	1.934	0.5	-0.5	
0.292	1.93076	0.5	-0.5	
0.293	1.92745	0.5	-0.5	
0.294	1.92406	0.5	-0.5	
0.295	1.92059	0.5	-0.5	
0.296	1.91704	0.5	-0.5	
0.297	1.91342	0.5	-0.5	
0.298	1.90973	0.5	-0.5	
0.299	1.90596	0.5	-0.5	
0.3	1.90211	0.5	-0.5	
0.301	1.89819	0.5	-0.5	
0.302	1.8942	0.5	-0.5	
0.303	1.89013	0.5	-0.5	
0.304	1.88598	0.5	-0.5	
0.305	1.88176	0.5	-0.5	
0.306	1.87747	0.5	-0.5	
0.307	1.8731	0.5	-0.5	
0.308	1.86866	0.5	-0.5	
0.309	1.86414	0.5	-0.5	
0.31	1.85955	0.5	-0.5	
0.311	1.85489	0.5	-0.5	
0.312	1.85015	0.5	-0.5	
0.313	1.84535	0.5	-0.5	
0.314	1.84046	0.5	-0.5	
0.315	1.83551	0.5	-0.5	
0.316	1.83048	0.5	-0.5	
0.317	1.82538	0.5	-0.5	
0.318	1.82021	0.5	-0.5	
0.319	1.81497	0.5	-0.5	
0.32	1.80965	0.5	-0.5	
0.321	1.80427	0.5	-0.5	
0.322	1.79881	0.5	-0.5	
0.323	1.79328	0.5	-0.5	
0.324	1.78768	0.5	-0.5	
0.325	1.78201	0.5	-0.5	
0.326	1.77627	0.5	-0.5	
0.327	1.77046	0.5	-0.5	
0.328	1.76458	0.5	-0.5	
0.329	1.75863	0.5	-0.5	
0.33	1.75261	0.5	-0.5	
0.331	1.74652	0.5	-0.5	
0.332	1.74037	0.5	-0.5	
0.333	1.73414	0.5	-0.5	
0.334	1.72785	0.5	-0.5	
0.335	1.72148	0.5	-0.5	
0.336	1.71505	0.5	-0.5	
0.337	1.70855	0.5	-0.5	
0.338	1.70199	0.5	-0.5	
0.339	1.69536	0.5	-0.5	
0.34	1.68866	0.5	-0.5	
0.341	1.68189	0.5	-0.5	
0.342	1.67506	0.5	-0.5	
0.343	1.66816	0.5	-0.5	
0.344	1.66119	0.5	-0.5	
0.345	1.65416	0.5	-0.5	
0.346	1.64707	0.5	-0.5	
0.347	1.6399	0.5	-0.5	
0.348	1.63268	0.5	-0.5	
0.349	1.62539	0.5	-0.5	
0.35	1.61803	0.5	-0.5	
0.351	1.61062	0.5	-0.5	
0.352	1.60313	0.5	-0.5	
0.353	1.59559	0.5	-0.5	
0.354	1.58798	0.5	-0.5	
0.355	1.58031	0.5	-0.5	
0.356	1.57258	0.5	-0.5	
0.357	1.56478	0.5	-0.5	
0.358	1.55692	0.5	-0.5	
0.359	1.54901	0.5	-0.5	
0.36	1.54103	0.5	-0.5	
0.361	1.53299	0.5	-0.5	
0.362	1.52489	0.5	-0.5	
0.363	1.51672	0.5	-0.5	
0.364	1.5085	0.5	-0.5	
0.365	1.50022	0.5	-0.5	
0.366	1.49188	0.5	-0.5	
0.367	1.48348	0.5	-0.5	
0.368	1.47503	0.5	-0.5	
0.369	1.46651	0.5	-0.5	
0.37	1.45794	0.5	-0.5	
0.371	1.44931	0.5	-0.5	
0.372	1.44062	0.5	-0.5	
0.373	1.43187	0.5	-0.5	
0.374	1.42307	0.5	-0.5	
0.375	1.41421	0.5	-0.5	
0.376	1.4053	0.5	-0.5	
0.377	1.39633	0.5	-0.5	
0.378	1.38731	0.5	-0.5	
0.379	1.37823	0.5	-0.5	
0.38	1.36909	0.5	-0.5	
0.381	1.35991	0.5	-0.5	
0.382	1.35067	0.5	-0.5	
0.383	1.34137	0.5	-0.5	
0.384	1.33202	0.5	-0.5	
0.385	1.32262	0.5	-0.5	
0.386	1.31317	0.5	-0.5	
0.387	1.30367	0.5	-0.5	
0.388	1.29411	0.5	-0.5	
0.389	1.28451	0.5	-0.5	
0.39	1.27485	0.5	-0.5	
0.391	1.26514	0.5	-0.5	
0.392	1.25538	0.5	-0.5	
0.393	1.24558	0.5	-0.5	
0.394	1.23572	0.5	-0.5	
0.395	1.22581	0.5	-0.5	
0.396	1.21586	0.5	-0.5	
0.397	1.20586	0.5	-0.5	
0.398	1.19581	0.5	-0.5	
0.399	1.18571	0.5	-0.5	
0.4	1.17557	0.5	-0.5	
0.401	1.16538	0.5	-0.5	
0.402	1.15515	0.5	-0.5	
0.403	1.14486	0.5	-0.5	
0.404	1.13454	0.5	-0.5	
0.405	1.12417	0.5	-0.5	
0.406	1.11375	0.5	-0.5	
0.407	1.10329	0.5	-0.5	
0.408	1.09279	0.5	-0.5	
0.409	1.08224	0.5	-0.5	
0.41	1.07165	0.5	-0.5	
0.411	1.06102	0.5	-0.5	
0.412	1.05035	0.5	-0.5	
0.413	1.03963	0.5	-0.5	
0.414	1.02888	0.5	-0.5	
0.415	1.01808	0.5	-0.5	
0.416	1.00725	0.5	-0.5	
0.417	0.99637	0.5	-0.5	
0.418	0.985455	0.492727	-0.492727	
0.419	0.9745	0.48725	-0.48725	
0.42	0.963507	0.481754	-0.481754	
0.421	0.952476	0.476238	-0.476238	
0.422	0.941408	0.470704	-0.470704	
0.423	0.930302	0.465151	-0.465151	
0.424	0.91916	0.45958	-0.45958	
0.425	0.907981	0.45399	-0.45399	
0.426	0.896766	0.448383	-0.448383	
0.427	0.885516	0.442758	-0.442758	
0.428	0.874232	0.437116	-0.437116	
0.429	0.862912	0.431456	-0.431456	
0.43	0.851559	0.425779	-0.425779	
0.431	0.840171	0.420086	-0.420086	
0.432	0.828751	0.414376	-0.414376	
0.433	0.817298	0.408649	-0.408649	
0.434	0.805813	0.402906	-0.402906	
0.435	0.794296	0.397148	-0.397148	
0.436	0.782747	0.391374	-0.391374	
0.437	0.771168	0.385584	-0.385584	
0.438	0.759558	0.379779	-0.379779	
0.439	0.747918	0.373959	-0.373959	
0.44	0.736249	0.368125	-0.368125	
0.441	0.724551	0.362275	-0.362275	
0.442	0.712824	0.356412	-0.356412	
0.443	0.701069	0.350534	-0.350534	
0.444	0.689286	0.344643	-0.344643	
0.445	0.677476	0.338738	-0.338738	
0.446	0.665639	0.33282	-0.33282	
0.447	0.653776	0.326888	-0.326888	
0.448	0.641887	0.320944	-0.320944	
0.449	0.629973	0.314987	-0.314987	
0.45	0.618034	0.309017	-0.309017	
0.451	0.606071	0.303035	-0.303035	
0.452	0.594083	0.297042	-0.297042	
0.453	0.582072	0.291036	-0.291036	
0.454	0.570039	0.285019	-0.285019	
0.455	0.557982	0.278991	-0.278991	
0.456	0.545904	0.272952	-0.272952	
0.457	0.533804	0.266902	-0.266902	
0.458	0.521683	0.260842	-0.260842	
0.459	0.509541	0.254771	-0.254771	
0.46	0.49738	0.24869	-0.24869	
0.461	0.485198	0.242599	-0.242599	
0.462	0.472998	0.236499	-0.236499	
0.463	0.460779	0.230389	-0.230389	
0.464	0.448542	0.224271	-0.224271	
0.465	0.436286	0.218143	-0.218143	
0.466	0.424014	0.212007	-0.212007	
0.467	0.411725	0.205863	-0.205863	
0.468	0.39942	0.19971	-0.19971	
0.469	0.387099	0.193549	-0.193549	
0.47	0.374763	0.187381	-0.187381	
0.471	0.362412	0.181206	-0.181206	
0.472	0.350046	0.175023	-0.175023	
0.473	0.337667	0.168833	-0.168833	
0.474	0.325274	0.162637	-0.162637	
0.475	0.312869	0.156434	-0.156434	
0.476	0.300451	0.150226	-0.150226	
0.477	0.288022	0.144011	-0.144011	
0.478	0.275581	0.13779	-0.13779	
0.479	0.263129	0.131564	-0.131564	
0.48	0.250666	0.125333	-0.125333	
0.481	0.238194	0.119097	-0.119097	
0.482	0.225713	0.112856	-0.112856	
0.483	0.213222	0.106611	-0.106611	
0.484	0.200723	0.100362	-0.100362	
0.485	0.188217	0.0941083	-0.0941083	
0.486	0.175702	0.0878512	-0.0878512	
0.487	0.163181	0.0815906	-0.0815906	
0.488	0.150654	0.0753268	-0.0753268	
0.489	0.13812	0.06906	-0.06906	
0.49	0.125581	0.0627905	-0.0627905	
0.491	0.113037	0.0565185	-0.0565185	
0.492	0.100489	0.0502443	-0.0502443	
0.493	0.0879362	0.0439681	-0.0439681	
0.494	0.0753804	0.0376902	-0.0376902	
0.495	0.0628215	0.0314108	-0.0314108	
0.496	0.0502602	0.0251301	-0.0251301	
0.497	0.0376969	0.0188484	-0.0188484	
0.498	0.0251321	0.012566	-0.012566	
0.499	0.0125663	0.00628314	-0.00628314	
0.5	-4.19596e-15	-2.09798e-15	2.09798e-15	
0.501	-0.0125663	1.25675e-06	-1.25675e-06	
0.502	-0.0251321	2.51346e-06	-2.51346e-06	
0.503	-0.0376969	3.77006e-06	-3.77006e-06	
0.504	-0.0502602	5.02652e-06	-5.02652e-06	
0.505	-0.0628215	6.28278e-06	-6.28278e-06	
0.506	-0.0753804	7.53879e-06	-7.53879e-06	
0.507	-0.0879362	8.7945e-06	-8.7945e-06	
0.508	-0.100489	1.00499e-05	-1.00499e-05	
0.509	-0.113037	1.13048e-05	-1.13048e-05	
0.51	-0.125581	1.25594e-05	-1.25594e-05	
0.511	-0.13812	1.38134e-05	-1.38134e-05	
0.512	-0.150654	1.50669e-05	-1.50669e-05	
0.513	-0.163181	1.63198e-05	-1.63198e-05	
0.514	-0.175702	1.7572e-05	-1.7572e-05	
0.515	-0.188217	1.88235e-05	-1.88235e-05	
0.516	-0.200723	2.00744e-05	-2.00744e-05	
0.517	-0.213222	2.13244e-05	-2.13244e-05	
0.518	-0.225713	2.25735e-05	-2.25735e-05	
0.519	-0.238194	2.38218e-05	-2.38218e-05	
0.52	-0.250666	2.50692e-05	-2.50692e-05	
0.521	-0.263129	2.63155e-05	-2.63155e-05	
0.522	-0.275581	2.75608e-05	-2.75608e-05	
0.523	-0.288022	2.8805e-05	-2.8805e-05	
0.524	-0.300451	3.00481e-05	-3.00481e-05	
0.525	-0.312869	3.129e-05	-3.129e-05	
0.526	-0.325274	3.25307e-05	-3.25307e-05	
0.527	-0.337667	3.37701e-05	-3.37701e-05	
0.528	-0.350046	3.50081e-05	-3.50081e-05	
0.529	-0.362412	3.62448e-05	-3.62448e-05	
0.53	-0.374763	3.748e-05	-3.748e-05	
0.531	-0.387099	3.87138e-05	-3.87138e-05	
0.532	-0.39942	3.9946e-05	-3.9946e-05	
0.533	-0.411725	4.11766e-05	-4.11766e-05	
